0   HLTriggerFirstPath, FIRED = 0
342   HLT_Ele17_CaloIdL_GsfTrkIdVL_v4, FIRED = 0
343   HLT_Ele17_CaloIdL_TrackIdL_IsoVL_v5, FIRED = 0
344   HLT_Ele23_CaloIdL_TrackIdL_IsoVL_v6, FIRED = 0
345   HLT_AK8DiPFJet280_200_TrimMass30_v2, FIRED = 0
346   HLT_AK8DiPFJet250_200_TrimMass30_v2, FIRED = 0
347   HLT_AK8DiPFJet280_200_TrimMass30_BTagCSV_p20_v2, FIRED = 0
348   HLT_AK8DiPFJet250_200_TrimMass30_BTagCSV_p20_v2, FIRED = 0
349   HLT_PFHT650_WideJetMJJ900DEtaJJ1p5_v5, FIRED = 0
350   HLT_PFHT650_WideJetMJJ950DEtaJJ1p5_v5, FIRED = 0
351   HLT_Photon22_v5, FIRED = 0
352   HLT_Photon30_v6, FIRED = 0
353   HLT_Photon36_v6, FIRED = 0
354   HLT_Photon50_v6, FIRED = 0
355   HLT_Photon75_v6, FIRED = 0
356   HLT_Photon90_v6, FIRED = 0
357   HLT_Photon120_v6, FIRED = 0
358   HLT_Photon175_v6, FIRED = 0
359   HLT_Photon165_HE10_v6, FIRED = 0
360   HLT_Photon22_R9Id90_HE10_IsoM_v5, FIRED = 0
361   HLT_Photon30_R9Id90_HE10_IsoM_v6, FIRED = 0
362   HLT_Photon36_R9Id90_HE10_IsoM_v6, FIRED = 0
363   HLT_Photon50_R9Id90_HE10_IsoM_v6, FIRED = 0
364   HLT_Photon75_R9Id90_HE10_IsoM_v6, FIRED = 0
365   HLT_Photon90_R9Id90_HE10_IsoM_v6, FIRED = 0
366   HLT_Photon120_R9Id90_HE10_IsoM_v6, FIRED = 0
367   HLT_Photon165_R9Id90_HE10_IsoM_v6, FIRED = 0
368   HLT_Diphoton30_18_R9Id_OR_IsoCaloId_AND_HE_R9Id_Mass90_v4, FIRED = 0
369   HLT_Diphoton30_18_R9Id_OR_IsoCaloId_AND_HE_R9Id_DoublePixelSeedMatch_Mass70_v4, FIRED = 0
370   HLT_Diphoton30PV_18PV_R9Id_AND_IsoCaloId_AND_HE_R9Id_DoublePixelVeto_Mass55_v4, FIRED = 0
371   HLT_Diphoton30_18_Solid_R9Id_AND_IsoCaloId_AND_HE_R9Id_Mass55_v4, FIRED = 0
